# relpath	width	height	bytes	sha256
platformer-art-deluxe/Base pack/Enemies/blockerBody.png	51	51	745	2d75e2a6808a6fc8270f6a532c25db963ae44f083846dc8814da68951818850f
platformer-art-deluxe/Base pack/Enemies/blockerMad.png	51	51	1029	5dd55c22069c8d539c89994bf5a0b63d0212e8cf46224bc218462e32d285fd73
platformer-art-deluxe/Base pack/Enemies/blockerSad.png	51	51	1024	4630ed433d1ebd7723aac5607cefe259724608b753253d63ccf366c48a052eb5
platformer-art-deluxe/Base pack/Enemies/fishDead.png	66	42	1135	b8bb68618acf64870b1dc3dc32eaa945c32cacfbaca865343cbc1ea1cb6b394c
platformer-art-deluxe/Base pack/Enemies/fishSwim1.png	66	42	1094	a25542a35cb39fb537dfab23f929f67d57019f8882d06dab5ccb4c71e0517137
platformer-art-deluxe/Base pack/Enemies/fishSwim2.png	62	43	1079	fd26d04b98cd168468b64f7dbbf1510643a1863e3cf696e8135a44c2d3472e51
platformer-art-deluxe/Base pack/Enemies/flyDead.png	59	33	1108	9ae0efdf113c2b1b63d34ee7b032986194a84ae26ccd4e8bcaf62da877380077
platformer-art-deluxe/Base pack/Enemies/flyFly1.png	72	36	1273	34f86ac3f8278ed05b6870495810bb9c17c51d16696ee28926e1fc53042dff1e
platformer-art-deluxe/Base pack/Enemies/flyFly2.png	75	31	1085	8464b7f6bc8262ba24e3f7644b1b5c99a84e0635c5723963b84fd9348d7ecfd1
platformer-art-deluxe/Base pack/Enemies/pokerMad.png	48	146	1567	a19c3524fac55156a1563ea31f55e403a59c0ac162c7a84e2bc4f72e48901ab6
platformer-art-deluxe/Base pack/Enemies/pokerSad.png	48	146	1548	e88bbaff346a048beada7adb39c3e64096121b27136548bcc5b7d12bc85fd4f3
platformer-art-deluxe/Base pack/Enemies/slimeDead.png	59	12	568	aa319cc3143e82980b41fe285db1879f11a974609823bc00162533edc433ec9a
platformer-art-deluxe/Base pack/Enemies/slimeWalk1.png	50	28	788	536f96dde6604f62740a7b88f3a1e71881a372ebd619356b7dbe8bb33ee11c30
platformer-art-deluxe/Base pack/Enemies/slimeWalk2.png	51	26	784	e63b480954ac057c3cc16fb53f75b669c0b1c343b0ede1aeadc043df4aaa3102
platformer-art-deluxe/Base pack/Enemies/snailShell.png	44	30	792	663497de0f7067444aa6ede3b9f33eed88f7d4f2ea837fd05e5456ad80b17ff6
platformer-art-deluxe/Base pack/Enemies/snailShell_upsidedown.png	44	30	803	b4ce243a53a2b988fdd7936e314b7eed06c3878b6ad0f0de717fe8e70a3a5ad3
platformer-art-deluxe/Base pack/Enemies/snailWalk1.png	54	31	1173	1f6f4f7bbbd18ce3046d2129b09dc0558c7826269f52f4cd34c1328e04a0a488
platformer-art-deluxe/Base pack/Enemies/snailWalk2.png	57	31	1202	f749bad0639b71f99ef16952728c93aeab6e0cdeff7e415769c28f76528e782e
platformer-art-deluxe/Base pack/HUD/hud_0.png	30	38	802	9e5fd83cea45b28f901430ad98482eb33de38c7b56dad5b1a0b27584a31c95b6
platformer-art-deluxe/Base pack/HUD/hud_1.png	26	37	616	eafdd94ce6f413fe85c7c60a756c8f5162a5ad04993508ca21a69d54b7517bae
platformer-art-deluxe/Base pack/HUD/hud_2.png	32	38	754	2b66c8f7ffde1aa871ef226256f2bc198b60274a634929f984b2dd9ddea1be1f
platformer-art-deluxe/Base pack/HUD/hud_3.png	28	38	781	2433a65ab3bcf9a6de6107093d1b301d4892f083adbd2f2e0b1d5f0d3584dc7a
platformer-art-deluxe/Base pack/HUD/hud_4.png	29	38	685	5aa5ae1775ea0882c12e7d58baacf67d811c100da1537bb16b782dc1c0e78ddb
platformer-art-deluxe/Base pack/HUD/hud_5.png	28	38	663	40357ac4da9a9ceb1d7d3d091565fede8080c291145a8664f7b633d608ca7a3e
platformer-art-deluxe/Base pack/HUD/hud_6.png	30	38	786	15ee14c51a4d90256f9aaeabf751ca9f9eb80b03f2df29d1fccc63f6695af560
platformer-art-deluxe/Base pack/HUD/hud_7.png	32	39	674	627a2675b2b967f675ea710b0cf44e4d78dcfd588a842ff3912d676ed784e0a3
platformer-art-deluxe/Base pack/HUD/hud_8.png	32	40	805	de615f013e36479b1df7de05223bf406446b78af3cc07fbb8791e047c367e81d
platformer-art-deluxe/Base pack/HUD/hud_9.png	32	39	834	f5f27b3f2067c49350b57bc10c7ff5eda6b4023949880e1fa75f2f8023cb345f
platformer-art-deluxe/Base pack/HUD/hud_coins.png	47	47	1387	b93c3f6e7daa1fd2f6c06ca22f9c6c79b48822228c67ec66f2e19f2ca83bb2c4
platformer-art-deluxe/Base pack/HUD/hud_gem_blue.png	46	36	1104	2b04120ed1141f02752f1a03d7d59cb3b51b170c070aad0b4cf16699069a509a
platformer-art-deluxe/Base pack/HUD/hud_gem_green.png	46	36	1177	504dc1f0973e38867d712ffdfb3c0bc817a734b1d43aa10864d2c9b67754f39e
platformer-art-deluxe/Base pack/HUD/hud_gem_red.png	46	36	1150	f99917f80982bc8036ab91eb00874d51a2ca24d81f80dac75e648a89cf971fc7
platformer-art-deluxe/Base pack/HUD/hud_gem_yellow.png	46	36	1060	65aedc36fc2f5740a0d6e8958550f8cdedad1014010877f3827ea167163771b8
platformer-art-deluxe/Base pack/HUD/hud_heartEmpty.png	53	45	1109	aa54189f47a94fde225a9291547bfc5e9db5a077b81eff4a5627db370e805d9e
platformer-art-deluxe/Base pack/HUD/hud_heartFull.png	53	45	1153	8630d31ec5b86748616b200dc683d059dc50bf8300a783d842c481ba693c96ba
platformer-art-deluxe/Base pack/HUD/hud_heartHalf.png	53	45	1365	e665023d560b19fb4f82bac84a58b75a6d6b73b86c85adf62c81b1d67d93639f
